,id_obra,ano,genero,ADJ,ADV,CARD,CJ,CL,CN,DA,DEM,DFR,DGT,DGTR,DM,EADR,EOE,EXC,GER,IA,IND,INF,INT,ITJ,LADV1,LADV2,LADV3,LADV4,LADV5,LADV6,LADV7,LCJ1,LCJ2,LCJ3,LCJ4,LCN1,LCN2,LDEM1,LDEM2,LDFR1,LDFR2,LDM1,LDM2,LITJ1,LITJ2,LITJ3,LPREP1,LPREP2,LPREP3,LPREP4,LPRS1,LPRS2,LQD1,LQD2,LREL1,LREL2,LTR,MGT,MTH,NP,ORD,PADR,PL,PNM,PNT,POSS,PP,PPA,PPT,PREP,PREPDA,PREPDEM,PRS,QNT,REL,STT,SYB,UM,V,VAUX,WD
186,186,2005,Tale,340,724,44,325,295,1582,1005,133,0,0,0,0,0,0,0,14,0,44,325,14,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1834,118,0,118,14,1035,0,0,133,29,133,0,0,133,1390,14,0
187,187,2000,Tale,481,515,50,654,344,1754,1079,70,0,4,0,0,0,0,0,44,8,33,418,4,0,13,13,8,0,0,0,0,26,26,10,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,1,1,0,0,0,0,23,1,0,154,783,159,0,204,28,1432,0,0,125,59,208,1,0,244,926,13,0
188,188,2004,Tale,474,680,60,469,290,1589,891,92,0,0,0,0,0,0,0,55,7,50,255,2,5,15,15,7,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,5,0,0,0,0,0,0,0,0,0,2,0,10,0,0,97,1840,108,0,187,34,1022,0,0,171,50,147,0,0,268,1025,18,2
189,189,1517,Drama,361,492,17,463,227,1464,621,166,0,274,7,12,0,1,7,65,0,9,205,32,64,21,4,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,29,0,0,0,6,0,0,819,1776,97,0,164,10,723,1,0,183,40,262,17,3,69,1249,0,0
190,190,1518,Drama,560,400,8,514,242,1285,589,133,0,538,0,0,0,0,2,60,6,22,214,16,40,16,10,0,0,0,0,0,4,4,0,0,0,2,0,0,2,0,0,0,4,4,0,4,2,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,585,2162,145,0,293,4,741,0,0,95,54,184,54,16,24,927,0,2
191,191,1509,Drama,504,541,68,421,327,1321,367,159,0,307,2,0,2,0,17,54,0,25,219,105,31,2,2,2,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,14,0,2,0,8,0,0,1164,1740,99,0,139,17,572,0,0,230,59,233,5,0,25,1170,2,8
192,192,1523,Drama,337,622,14,528,322,1105,374,125,0,419,1,1,0,0,12,31,0,19,322,66,23,9,2,0,0,0,0,0,7,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,20,0,0,0,3,0,0,902,2185,102,1,153,15,576,0,0,249,46,191,7,0,14,1167,2,0
193,193,1960,Tale,411,514,21,478,232,1745,1234,67,0,20,0,1,0,0,1,85,3,29,211,7,6,9,9,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,0,12,1,0,361,1486,82,1,162,12,1199,0,0,211,63,126,4,0,107,1029,6,4
194,194,1998,Novel,338,455,41,391,150,2008,1132,76,0,10,0,0,0,0,2,35,0,23,290,10,0,18,19,3,6,2,0,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,193,1628,242,1,161,29,1283,0,0,161,46,162,6,3,89,904,18,0
195,195,1654,Allegory,467,621,36,791,346,1447,1070,155,0,14,6,0,0,0,0,62,8,12,248,18,9,10,12,4,0,0,0,0,26,26,3,0,0,0,1,1,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,290,1373,94,1,125,17,1040,0,0,137,109,271,22,0,60,1010,10,0
